,state,order_date,order_expiration_date,population,total_cases,total_deaths,thisweek_cases,lastweek_cases,thisweek_deaths,lastweek_deaths,per100k
0,Alabama,2020-04-03,2020-04-30,4903185,1644533,21032,2471,3714,31,69,33540.09689620115
1,Alaska,2020-03-27,2020-04-24,740995,307655,1486,582,450,0,0,41519.17354368113
2,Arizona,2020-03-30,2020-05-15,7278717,2443514,33102,3220,5663,26,34,33570.669116548976
3,Arkansas,,,3017804,1006883,13020,1671,1403,30,28,33364.757949820465
4,California,2020-03-19,,39512223,12129699,101159,21843,23567,205,228,30698.599266358666
5,Colorado,2020-03-25,2020-04-26,5758736,1764401,14181,3069,3142,54,21,30638.68529482859
6,Connecticut,2020-03-20,2020-05-20,3565287,976657,12220,1120,1394,33,42,27393.502963436044
7,Delaware,2020-03-22,2020-05-31,973764,330793,3324,0,461,0,15,33970.551386167484
8,District of Columbia,2020-03-30,2020-05-29,705749,177945,1432,231,210,2,3,25213.638276497735
9,Florida,2020-04-01,2020-05-04,21477737,7574590,86850,46170,11514,390,166,35267.16990714618
10,Georgia,2020-04-02,2020-04-30,10617423,3068208,42489,2818,3905,62,95,28897.859678379587
11,Hawaii,2020-03-23,2020-07-17,1415872,380608,1841,510,998,7,12,26881.52601365095
12,Idaho,2020-03-25,2020-04-30,1787065,521120,5416,1270,1419,17,6,29160.66287460165
13,Illinois,2020-03-20,2020-05-29,12671821,4083292,41496,10320,10772,53,64,32223.403408239432
14,Indiana,2020-03-23,2020-05-18,6732219,2051104,26115,3482,4553,24,46,30466.982728874384
15,Iowa,,,3155070,903991,10725,1916,1732,25,29,28652.01089040814
16,Kansas,2020-03-28,2020-05-03,2913314,938184,10066,1753,1927,11,21,32203.325834427735
17,Kentucky,2020-03-22,,4467673,1718471,18130,4787,5242,36,39,38464.5653341236
18,Louisiana,2020-03-22,2020-05-15,4648794,1573810,18766,3139,4566,28,32,33854.15658340636
19,Maine,2020-03-31,2020-05-31,1344212,318130,2928,1370,1692,7,4,23666.65377187527
20,Maryland,2020-03-30,2020-05-13,6045680,1365297,16544,2612,3099,44,60,22583.01795662357
21,Massachusetts,2020-03-24,2020-06-08,6892503,2224337,24333,3375,4092,84,118,32271.832163148854
22,Michigan,2020-03-23,2020-06-01,9986857,3064125,42205,6903,7483,109,139,30681.574793751424
23,Minnesota,2020-03-25,2020-05-18,5639632,1778866,14870,3602,5147,50,54,31542.235379897127
24,Mississippi,2020-04-01,2020-04-27,2976149,990756,13370,1474,2177,19,31,33289.86552756599
25,Missouri,2020-04-03,2020-05-03,6626371,1777380,22870,3876,3629,72,39,26822.82655166757
26,Montana,2020-03-26,2020-04-27,1068778,329386,3652,718,791,1,3,30818.935269999944
27,Nebraska,,,1934408,567426,4936,1502,1569,21,36,29333.315412260494
28,Nevada,2020-03-31,2020-05-08,3080156,890122,11922,1139,1182,6,5,28898.60123967747
29,New Hampshire,2020-03-26,2020-06-16,1359711,378428,3003,767,799,8,8,27831.502429560398
30,New Jersey,2020-03-21,2020-06-09,8882190,3048984,36015,4914,6461,28,40,34326.939639886106
31,New Mexico,2020-03-23,2020-05-31,2096829,670929,9061,1263,1148,14,27,31997.315947080093
32,New York,2020-03-20,2020-06-08,19453561,6794738,77157,9574,11838,76,10,34927.99081875036
33,North Carolina,2020-03-27,2020-05-20,10488084,3472644,28432,5418,7626,43,43,33110.37554619127
34,North Dakota,,,762062,286950,2470,0,706,5,2,37654.41656978041
35,Ohio,2020-03-22,2020-05-20,11689100,3400652,41796,8332,9325,47,0,29092.504983275016
36,Oklahoma,2020-04-01,2020-04-30,3956971,1290929,17972,3551,2928,32,53,32624.17136744242
37,Oregon,2020-03-23,2020-05-14,4217737,963564,9373,2041,2130,12,26,22845.521188258062
38,Pennsylvania,2020-04-01,2020-06-04,12801989,3527854,50398,7041,8676,117,113,27557.077263540843
39,Puerto Rico,2020-03-15,2020-06-12,3754939,1101469,5823,2319,2701,17,21,29333.872001649026
40,Rhode Island,2020-03-30,2020-05-08,1059361,460697,3870,652,789,5,5,43488.19713015676
41,South Carolina,2020-04-06,2020-05-04,5148714,1836568,19600,2837,6111,68,42,35670.421779108336
42,South Dakota,2020-03-23,2020-04-28,884659,279130,3190,641,838,9,6,31552.270422840887
43,Tennessee,2020-03-30,2020-04-29,6829174,2515130,29263,939,5598,17,37,36829.19779170951
44,Texas,2020-03-31,2020-04-30,28995881,8466220,93390,12407,21009,111,123,29198.00919309884
45,Utah,2020-03-27,2020-05-01,3205958,1090346,5298,1493,1704,11,11,34009.99014959024
46,Vermont,2020-03-24,2020-05-15,623989,152618,929,1141,0,19,0,24458.4439789804
47,Virginia,2020-03-30,2020-06-04,8535519,2291951,23666,4511,5234,17,19,26851.923122659562
48,Washington,2020-03-23,2020-05-31,7614893,1928913,15683,0,4495,0,61,25330.79584965935
49,West Virginia,2020-03-23,2020-05-04,1792147,642760,7960,1706,1808,22,12,35865.36149099377
50,Wisconsin,2020-03-24,2020-05-13,5822434,2006582,16375,4134,4400,51,35,34462.94109989053
51,Wyoming,,,578759,185385,2004,226,343,2,4,32031.467329233757
